codigoinsitucion,nombreinstitucion,nitinstitucion,codigopadreinstitucion,tipoinstitucion,codigodepartamento,nombredeparamento,codigomunicipio,nombremunicipio,codigoordeninstitucional,nombreordeninstitucional,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracterinstitucional,nombrecaracterinstitucional,codigotipoacreditacion,nombretipoacreditacion,codigotipomarcocreacion,numeromarcocreacion,nombretipomarcocreacion
2813,ESCUELA DE INGENIERIA DE ANTIOQUIA,890.983.722-6,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,3,REGISTRO ALTA CALIDAD,7,20120,RESOLUCION
4710,POLITECNICO INDOAMERICANO,NO DISPONIBLE,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,9168,RESOLUCION
9114,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,899.999.034-1,9110,SECCIONAL,63,QUINDIO,63001,ARMENIA,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,30,NO INFORMA
3204,TECNOLOGICO DE ANTIOQUIA,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,4,DEPARTAMENTAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,3,262,DECRETO
1221,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,1201,SECCIONAL,5,ANTIOQUIA,5154,CAUCASIA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
2104,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,5,19,LEY
1735,UNIVERSIDAD MANUELA BELTRAN-UMB-,860.517.647-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,11110,RESOLUCION
4803,CORPORACION POLITECNICO COLOMBO ANDINO,860.508.517-8,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,2026,RESOLUCION
9900,CORPORACION UNIVERSITARIA DE CIENCIA Y TECNOLOGIA DE COLOMBIA,900378694-9,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,6731,NO INFORMA
3716,TECNOLOGICA FITEC,800.189.702,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,5,RESOLUCION
1108,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,891800330-1,1106,SECCIONAL,15,BOYACA,15759,SOGAMOSO,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,3,2655,DECRETO
4829,CORPORACION INTERAMERICANA DE EDUCACION SUPERIOR-CORPOCIDES,890.204.702,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,80,RESOLUCION
1111,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,891.480.035-9,,PRINCIPAL,66,RISARALDA,66001,PEREIRA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,5,41,LEY
1817,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,1818,SECCIONAL,68,SANTANDER,68001,BUCARAMANGA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
1222,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,1201,SECCIONAL,5,ANTIOQUIA,5579,PUERTO BERRIO,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
2823,CORPORACION UNIVERSITARIA DEL CARIBE - CECAR,892.201.263-1,,PRINCIPAL,70,SUCRE,70001,SINCELEJO,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,7786,RESOLUCION
2730,FUNDACION ESCUELA COLOMBIANA DE REHABILITACION,830.011.184-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,5090,RESOLUCION
3808,CORPORACION TECNOLOGICA DE BOGOTA - CTB,860.404.351-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,6271,RESOLUCION
9113,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,899.999.034-1,9110,SECCIONAL,25,CUNDINAMARCA,25473,MOSQUERA,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,30,NO INFORMA
1812,UNIVERSIDAD DE MEDELLIN,890.902.920-1,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,103,RESOLUCION
1802,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,1801,SECCIONAL,63,QUINDIO,63001,ARMENIA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,47,RESOLUCION
3831,CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,817.004.535,,PRINCIPAL,19,CAUCA,19001,POPAYAN,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,597,RESOLUCION
2302,INSTITUCION UNIVERSITARIA DE ENVIGADO,811.000.278,,PRINCIPAL,5,ANTIOQUIA,5266,ENVIGADO,3,MUNICIPAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,1,44,ACUERDO
1720,UNIVERSIDAD MARIANA,800.092.198-5,,PRINCIPAL,52,NARINIO,52001,PASTO,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,230,RESOLUCION
9918,INSTITUCION UNIVERSITARIA CONOCIMIENTO E INNOVACION PARA LA JUSTICIA - CIJ,79357338,,PRINCIPAL,25,CUNDINAMARCA,25214,COTA,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,5,1654,LEY
2102,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,860.512.780-4,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,5,52,LEY
9109,INSTITUTO TECNOLOGICO DE ELECTRONICA Y COMUNICACIONES-ITEC-,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,SIN DATO,NO INFORMA
3725,FUNDACION TECNOLOGICA ALBERTO MERANI,900019885-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,1327,RESOLUCION
1825,UNIVERSIDAD AUTONOMA DE MANIZALES,890.805.051-0,,PRINCIPAL,17,CALDAS,17001,MANIZALES,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1549,RESOLUCION
1122,UNIVERSIDAD DEL PACIFICO,835.000.300-4,,PRINCIPAL,76,VALLE DEL CAUCA,76109,BUENAVENTURA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,5,65,LEY
2738,FUNDACION UNIVESITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE BOGOTA,830.084.876.6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,598,RESOLUCION
9914,ELITE- ESCUELA LATINOAMERICANA DE INGENIEROS TECNOLOGOS Y EMPRESARIOS,9005345244,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,4787,NO INFORMA
1835,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.,860.403.721.2,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,7392,RESOLUCION
9108,INSTITUTO CARO Y CUERVO,899999096-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,_,NO INFORMA
1703,UNIVERSIDAD INCCA DE COLOMBIA,860.011.285-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1891,RESOLUCION
4108,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,860.523.694-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,3,146,DECRETO
1707,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,860.006.848-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,2613,RESOLUCION
3703,FUNDACION ESCUELA COLOMBIANA DE MERCADOTECNIA -ESCOLME-,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,126,RESOLUCION
3811,CORPORACION DE EDUCACION DEL NORTE DEL TOLIMA - COREDUCACION,890.704.562-9,,PRINCIPAL,73,TOLIMA,73349,HONDA,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,9702,RESOLUCION
1105,UNIVERSIDAD PEDAGOGICA NACIONAL,899.999.124-4,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,3,197,DECRETO
3201,UNIDADES TECNOLOGICAS DE SANTANDER,890.208.727,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,4,DEPARTAMENTAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,6,90,ORDENANZA
4822,CORPORACION ESCUELA DE ARTES Y LETRAS,860504543-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,6272,RESOLUCION
2836,CORPORACION UNIVERSITARIA EMPRESARIAL DE SALAMANCA,819003405,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,3062,RESOLUCION
2841,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,800.116.217 - 2,2829,SECCIONAL,5,ANTIOQUIA,5088,BELLO,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1634,RESOLUCION
1121,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,800.144.829-9,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,5,48,LEY
2724,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -,800.152.804-4,,PRINCIPAL,68,SANTANDER,68679,SAN GIL,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,10989,RESOLUCION
2811,ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO,860.034.811,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,3,REGISTRO ALTA CALIDAD,7,86,RESOLUCION
1716,UNIVERSIDAD DE SAN BUENAVENTURA,890.307.400,1718,SECCIONAL,76,VALLE DEL CAUCA,76001,CALI,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1326,RESOLUCION
2831,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA,830018780-7,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,20,RESOLUCION
3829,CORPORACION JHON F. KENNEDY,800.210.541,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,5460,RESOLUCION
9903,CORPORACION DE EDUCACION TECNOLOGICA COLSUBSIDIO EADS,900401526-8,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,19,9150,NO INFORMA
9107,ESCUELA DE INGENIEROS MILITARES,* *,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,15,NO INFORMA
2840,CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - CUE,NO DISPONIBLE,,PRINCIPAL,63,QUINDIO,63001,ARMENIA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,439,RESOLUCION
1814,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,890905456-9,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,203,RESOLUCION
2827,CORPORACION UNIVERSITARIA DEL META,NO INFORMA,,PRINCIPAL,50,META,50001,VILLAVICENCIO,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,12249,RESOLUCION
1702,PONTIFICIA UNIVERSIDAD JAVERIANA,NO INFORMA,1701,SECCIONAL,76,VALLE DEL CAUCA,76001,CALI,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,73,RESOLUCION
4826,CORPORACION UNIVERSITARIA REGIONAL DEL CARIBE -IAFIC-,890.481.341-9,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,8992,RESOLUCION
2728,FUNDACION UNIVERSITARIA DEL AREA ANDINA,860.517.302,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,22215,RESOLUCION
9910,FUNDACION UNIVERSITARIA ESCUELA COLOMBIANA DE MEDICINA HOMEOPATICA &QUOT;LUIS G. PAEZ&QUOT;,900511207-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,10733,NO INFORMA
4726,FUNDACION PARA LA EDUCACION SUPERIOR SAN MATEO,800.040.295-9,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,14135,RESOLUCION
4832,CORPORACION INSTITUTO SUPERIOR DE EDUCACION SOCIAL-ISES-,860.066.098-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,2028,RESOLUCION
1724,UNIVERSIDAD DE SAN BUENAVENTURA,890307400-1,1718,SECCIONAL,13,BOLIVAR,13001,CARTAGENA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1326,RESOLUCION
1819,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,1818,SECCIONAL,68,SANTANDER,68081,BARRANCABERMEJA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
3114,ESCUELA NAVAL DE SUBOFICIALES ARC BARRANQUILLA,NO INFORMA,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,3,REGISTRO ALTA CALIDAD,19,743,NO INFORMA
3810,CORPORACION EDUCATIVA -ITAE-,890.203.706-2,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,41,RESOLUCION
1709,UNIVERSIDAD CENTRAL,860.024.746-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1876,RESOLUCION
2710,FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE,860.513.077-9,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1381,RESOLUCION
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,1101,SECCIONAL,17,CALDAS,17001,MANIZALES,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,5,66,LEY
4727,POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR,900002845,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,4135,RESOLUCION
2747,FUNDACION UNIVERSITARIA AUTONOMA DE LAS AMERICAS,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,12998,RESOLUCION
2818,CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-,891.409.768-8,,PRINCIPAL,66,RISARALDA,66682,SANTA ROSA DE CABAL,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,6387,RESOLUCION
3710,FUNDACION TECNOLOGICA ANTONIO DE AREVALO,890.481.264,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,3,REGISTRO ALTA CALIDAD,7,322,RESOLUCION
1711,UNIVERSIDAD DE LA SABANA,860.075.558-1,,PRINCIPAL,25,CUNDINAMARCA,25175,CHIA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,130,RESOLUCION
3807,ESCUELA DE TECNOLOGIAS DE ANTIOQUIA -ETA-,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,3745,RESOLUCION
1717,UNIVERSIDAD DE SAN BUENAVENTURA,890307400-1,1718,SECCIONAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1326,RESOLUCION
2711,UNIVERSIDAD CATOLICA DE PEREIRA,891.408.261,,PRINCIPAL,66,RISARALDA,66001,PEREIRA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,10918,RESOLUCION
2749,INSTITUCION UNIVERSITARIA  SALAZAR Y HERRERA,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1104,RESOLUCION
3712,FUNDACION CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA-F-CIDCA-,86.040.457,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,4124,RESOLUCION
1732,UNIVERSIDAD SANTO TOMAS,860.012.357-6,1704,SECCIONAL,15,BOYACA,15001,TUNJA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,3645,RESOLUCION
3107,INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO,890.980.153,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,3,108,DECRETO
2829,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,800.116.217-2,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,10345,RESOLUCION
2902,ESCUELA DE LOGISTICA,800131180,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,15,NO INFORMA
3827,POLITECNICO SANTAFE DE BOGOTA,860070298-7,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,9097,RESOLUCION
