codigoinsitucion,nombreinstitucion,nitinstitucion,codigopadreinstitucion,tipoinstitucion,codigodepartamento,nombredeparamento,codigomunicipio,nombremunicipio,codigoordeninstitucional,nombreordeninstitucional,codigoorigeninstitucional,nombreorigeninstitucional,codigocaracterinstitucional,nombrecaracterinstitucional,codigotipoacreditacion,nombretipoacreditacion,codigotipomarcocreacion,numeromarcocreacion,nombretipomarcocreacion
4806,CORPORACION CENTRO DE ESTUDIOS ARTISTICOS Y TECNICOS-CEART-,860.036.444-2,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,19,1727,NO INFORMA
1301,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,899.999.230-7,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,3,MUNICIPAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,1,10,ACUERDO
2713,FUNDACION UNIVERSITARIA LOS LIBERTADORES,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,7542,RESOLUCION
2820,CORPORACION UNIVERSITARIA LASALLISTA,890.984.812-5,,PRINCIPAL,5,ANTIOQUIA,5129,CALDAS,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,9887,RESOLUCION
4825,CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF,891.408.248-5,,PRINCIPAL,66,RISARALDA,66001,PEREIRA,7,CORPORACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,19348,RESOLUCION
1219,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,1201,SECCIONAL,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
2702,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,10917,RESOLUCION
1804,UNIVERSIDAD AUTONOMA DEL CARIBE,8901025729,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,303,RESOLUCION
1806,UNIVERSIDAD LIBRE,860.013.798-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,192,RESOLUCION
1712,UNIVERSIDAD EAFIT-,890.901.389,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,75,RESOLUCION
9911,UNIVERSIDAD DEL VALLE,890.399.010-6,1203,SECCIONAL,76,VALLE DEL CAUCA,76109,BUENAVENTURA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,12,ORDENANZA
1820,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,1818,SECCIONAL,47,MAGDALENA,47001,SANTA MARTA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,19,SIN DATO,NO INFORMA
9121,FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO,900131269,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,7774,RESOLUCION
3702,FUNDACION TECNOLOGICA AUTONOMA DE BOGOTA-FABA-,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,6845,RESOLUCION
2838,CORPORACION COLEGIATURA COLOMBIANA,811.024.158,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1989,RESOLUCION
9908,UNIVERSIDAD DEL VALLE,890.399.010-6,1203,SECCIONAL,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,12,ORDENANZA
1118,UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA,891.680.089-4,,PRINCIPAL,27,CHOCO,27001,QUIBDO,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,5,38,LEY
1112,UNIVERSIDAD DE CALDAS,890.801.063,,PRINCIPAL,17,CALDAS,17001,MANIZALES,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,6,6,ORDENANZA
2833,CORPORACION UNIVERSITARIA REMINGTON,NO INFORMA,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,2661,RESOLUCION
9899,INSTITUCION UNIVERSITARIA DE COLOMBIA - UNIVERSITARIA DE COLOMBIA,900350945-0,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,2202,NO INFORMA
1829,UNIVERSIDAD SANTIAGO DE CALI,8903037971,1805,SECCIONAL,76,VALLE DEL CAUCA,76520,PALMIRA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,2800,RESOLUCION
2830,CORPORACION UNIVERSITARIA IBEROAMERICANA,860.530.837-7,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,428,RESOLUCION
9906,CORPORACION UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL- CUDES,_,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,1051,NO INFORMA
9110,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,899.999.034-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,19,30,NO INFORMA
4111,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL - HUMBERTO VELASQUEZ GARCIA,891.701.932-0,,PRINCIPAL,47,MAGDALENA,47189,CIENAGA,4,DEPARTAMENTAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,3,3506,DECRETO
1206,UNIVERSIDAD DE NARIÑO,800.118.954,,PRINCIPAL,52,NARINIO,52001,PASTO,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,3,49,DECRETO
3713,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU,860.504.360,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,16971,RESOLUCION
4704,FUNDACION PARA LA EDUCACION SUPERIOR REAL DE COLOMBIA,860.533.613-2,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,21994,RESOLUCION
1705,UNIVERSIDAD SANTO TOMAS,860.012.357-6,1704,SECCIONAL,68,SANTANDER,68001,BUCARAMANGA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,3645,RESOLUCION
4719,FUNDACION DE EDUCACION SUPERIOR NUEVA AMERICA,860.072.063.2,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,17084,RESOLUCION
3705,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,890.481.183-1,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,9299,RESOLUCION
2901,ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO,800131292,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,20,NO INFORMA
9920,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,,PRINCIPAL,52,NARINIO,52835,TUMACO,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,1,14,ACUERDO
2722,FUNDACION CENTRO UNIVERSITARIO DE BIENESTAR RURAL,800053190-0,,PRINCIPAL,19,CAUCA,19573,PUERTO TEJADA,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,9111,RESOLUCION
2832,UNIVERSIDAD DE SANTANDER - UDES,804001890-1,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,810,RESOLUCION
1125,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,1101,SECCIONAL,91,AMAZONAS,91001,LETICIA,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,5,66,LEY
1704,UNIVERSIDAD SANTO TOMAS,860.012.357-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,3645,RESOLUCION
1822,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,1815,SECCIONAL,25,CUNDINAMARCA,25307,GIRARDOT,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,3681,RESOLUCION
1710,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,48,RESOLUCION
2805,UNIVERSIDAD SIMON BOLIVAR,890.104.633-9,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1318,RESOLUCION
9913,CORPORACION UNIVERSITARIA DE ASTURIAS,900509172-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1110,RESOLUCION
4810,CORPORACION UNIVERSITARIA CENDA,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,11109,RESOLUCION
4702,FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-,860.524.219-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,14878,RESOLUCION
1718,UNIVERSIDAD DE SAN BUENAVENTURA,NO 890307400-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,1326,RESOLUCION
9905,FUNDACION ESCUELA TECNOLOGICA DE NEIVA - JESUS OVIEDO PEREZ -FET,900440771-2,,PRINCIPAL,41,HUILA,41615,RIVERA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,19,1595,NO INFORMA
1713,UNIVERSIDAD DEL NORTE,890.101.681,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,149,RESOLUCION
4801,CORPORACION ACADEMIA SUPERIOR DE ARTES,* *,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,11105,RESOLUCION
3102,INSTITUTO SUPERIOR DE EDUCACION RURAL-ISER-,890.501.578,,PRINCIPAL,54,NORTE DE SANTANDER,54518,PAMPLONA,4,DEPARTAMENTAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,3,2365,DECRETO
4708,FUNDACION ESCUELA COLOMBIANA DE HOTELERIA Y TURISMO-ECOTET-,860.350.003-3,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,7,2285,RESOLUCION
2732,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,811.010.001-2,,PRINCIPAL,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1671,RESOLUCION
3301,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,805.000.889-0,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,3,MUNICIPAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,1,29,ACUERDO
3828,TECNOLOGICA DEL SUR,805.001.162,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,5050,RESOLUCION
2707,FUNDACION UNIVERSITARIA JUAN N. CORPAS,860.038.374-4,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,2105,RESOLUCION
3115,INSTITUTO TECNOLOGICO DEL PUTUMAYO,800.247.940-1,,PRINCIPAL,86,PUTUMAYO,86001,MOCOA,4,DEPARTAMENTAL,1,OFICIAL,2,INSTITUCION TECNOLOGICA,4,N/A,5,65,LEY
1830,UNIVERSIDAD AUTONOMA DE OCCIDENTE,890.305.881-1,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,618,RESOLUCION
2743,FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO,844.002.071 -4,,PRINCIPAL,85,CASANARE,85001,YOPAL,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1311,RESOLUCION
1120,UNIVERSIDAD POPULAR DEL CESAR,892.300.285-6,,PRINCIPAL,20,CESAR,20001,VALLEDUPAR,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,5,34,LEY
2111,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,2104,SECCIONAL,5,ANTIOQUIA,5001,MEDELLIN,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,5,19,LEY
1725,FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-,860.034.667,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,264,RESOLUCION
1823,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,890.200.499-9,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,7,3284,RESOLUCION
1805,UNIVERSIDAD SANTIAGO DE CALI,890.303.797-1,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,2800,RESOLUCION
2748,FUNDACION UNIVERSITARIA SEMINARIO TEOLOGICO BAUTISTA INTERNACIONAL,805.027.579-1,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,1427,RESOLUCION
1214,UNIVERSIDAD DE CUNDINAMARCA-UDEC,890.680.062,,PRINCIPAL,25,CUNDINAMARCA,25290,FUSAGASUGA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,6,45,ORDENANZA
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,5,66,LEY
2834,UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA,NO INFORMA,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,6651,RESOLUCION
4106,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN ANDRES,892.400.461.5,,PRINCIPAL,88,SAN ANDRES Y PROVIDENCIA,88001,SAN ANDRES,5,NACIONAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,3,176,DECRETO
2837,CORPORACION UNIVERSITARIA REPUBLICANA,830.065.186-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,3061,RESOLUCION
1834,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,1833,SECCIONAL,13,BOLIVAR,13001,CARTAGENA,7,CORPORACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,12154,RESOLUCION
5801,CORPORACION ESCUELA TECNOLOGICA DEL ORIENTE,804006527-3,,PRINCIPAL,68,SANTANDER,68001,BUCARAMANGA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,2680,RESOLUCION
9915,UNIVERSITARIA VIRTUAL INTERNACIONAL,900.524.285-6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,4788,RESOLUCION
2904,ESCUELA SUPERIOR DE GUERRA,8001515689,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,3,453,DECRETO
2114,ESCUELA NACIONAL DEL DEPORTE,805.001.868,,PRINCIPAL,76,VALLE DEL CAUCA,76001,CALI,5,NACIONAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,3,3115,DECRETO
1117,UNIVERSIDAD MILITAR-NUEVA GRANADA,800.225.340,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,5,NACIONAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,4,84,DECRETO LEY
3819,CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO,800.003.963-5,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,1048,RESOLUCION
3719,INSTITUCION UNIVERSITARIA LATINA - UNILATINA,860516428-4,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,8530,RESOLUCION
9904,FUNDACION TECNOLOGICA COLOMBO GERMANA,900407222-1,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,10263,RESOLUCION
1731,UNIVERSIDAD CATOLICA DE COLOMBIA,860.028.971,1719,SECCIONAL,25,CUNDINAMARCA,25175,CHIA,6,FUNDACION,2,PRIVADA,4,UNIVERSIDAD,4,N/A,7,2271,RESOLUCION
9126,CORPORACION TECNOLOGICA INDOAMERICA,900243674-1,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,2,INSTITUCION TECNOLOGICA,4,N/A,7,6173,RESOLUCION
2720,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS,800057330 -3,,PRINCIPAL,15,BOYACA,15001,TUNJA,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,2085,RESOLUCION
2211,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,890-480-380-0,,PRINCIPAL,13,BOLIVAR,13001,CARTAGENA,4,DEPARTAMENTAL,1,OFICIAL,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,6,35,ORDENANZA
2721,FUNDACION UNIVERSITARIA MARIA CANO,800.036.781-1,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,17996,RESOLUCION
4110,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,800.173.719-0,,PRINCIPAL,73,TOLIMA,73268,ESPINAL (CHICORAL),5,NACIONAL,1,OFICIAL,1,INSTITUCION TECNICA PROFESIONAL,4,N/A,3,3462,DECRETO
1201,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,,PRINCIPAL,5,ANTIOQUIA,5001,MEDELLIN,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,3,REGISTRO ALTA CALIDAD,5,71,LEY
1212,UNIVERSIDAD DE PAMPLONA,890.501.510-4,,PRINCIPAL,54,NORTE DE SANTANDER,54518,PAMPLONA,4,DEPARTAMENTAL,1,OFICIAL,4,UNIVERSIDAD,4,N/A,18,1,ACTA
9129,FUNDACION UNIVERSITARIA CAFAM,9002623984,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,9336,RESOLUCION
2746,FUNDACION UNIVERSITARIA SANITAS,830.113.458 - 6,,PRINCIPAL,11,BOGOTA D.C,11001,BOGOT¿ D.C.,6,FUNDACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,3015,RESOLUCION
4837,CORPORACION UNIVERSITARIA DE CIENCIAS EMPRESARIALES EDUCACION Y SALUD -CORSALUD-,NO INFORMA,,PRINCIPAL,8,ATLANTICO,8001,BARRANQUILLA,7,CORPORACION,2,PRIVADA,3,INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA,4,N/A,7,3514,RESOLUCION
